City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Luwuk,ID,76.08,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
523,Luis Correia,BR,87.8,scattered clouds,-2.8792,-41.6669,Hotel Amarração
527,Beyneu,KZ,87.66,clear sky,45.3167,55.2,NUR
531,Ugoofaaru,MV,82.96,overcast clouds,5.6667,73.0,Ungoofaaru Inn
532,Sabang,ID,81.91,overcast clouds,5.8933,95.3214,Hotel Citra
539,Ribas Do Rio Pardo,BR,86.47,clear sky,-20.4431,-53.7592,Pousada Avenida
540,Hauterive,FR,82.09,scattered clouds,46.0901,3.4459,Aletti Palace Hotel
545,Marsh Harbour,BS,84.07,few clouds,26.5412,-77.0636,Abaco Beach Resort
553,Lixourion,GR,83.95,clear sky,38.2019,20.4314,Hotel Summery
554,Aneho,TG,80.8,broken clouds,6.2333,1.6,Hotel La Linette
558,Bone,DE,81.37,overcast clouds,51.9669,12.1396,Sporthotel Wallwitz
559,Gornja Koprivna,BA,82.29,clear sky,45.0119,15.9572,Motel Kula
560,Kalmunai,LK,82.89,overcast clouds,7.4167,81.8167,VS Villa
564,Libreville,GA,80.62,few clouds,0.3925,9.4537,Hotel Re-Ndama
566,Vaitape,PF,78.42,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
567,Itaberaba,BR,89.98,scattered clouds,-12.5275,-40.3069,Araújo Hotel
569,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
571,Makakilo City,US,75.69,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
573,Celestun,MX,88.16,few clouds,20.8667,-90.4,Posada Lilia
579,Rajapur,IN,85.96,overcast clouds,25.3833,81.15,Sahu Ji Galla Mills
581,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
583,Utica,US,87.31,broken clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
584,Kalnibolotskaya,RU,77.94,broken clouds,46.0058,40.4568,гостиница ОАО «Радуга»
587,Panukulan,PH,81.7,overcast clouds,14.9333,121.8144,AC Lodging House
591,Waingapu,ID,76.75,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
593,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
596,Dwarka,IN,81.52,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
597,Puerto El Triunfo,SV,87.26,few clouds,13.2833,-88.55,Hotel Jardin
598,Trairi,BR,86.18,few clouds,-3.2778,-39.2689,janelas do mar
599,Marilia,BR,83.23,clear sky,-22.2139,-49.9458,Hotel Tenda
602,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
606,Badarganj,BD,81.75,overcast clouds,25.674,89.0549,Raushon
607,Ahuimanu,US,76.86,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
612,Jiaojiang,CN,77.83,light rain,28.6803,121.4428,Jiaojiang Hotel
617,Petrovsk,RU,82.56,few clouds,52.3064,45.3917,Scarlet Sails
618,Yulin,CN,79.32,overcast clouds,22.6333,110.15,罗弟天海大厦
624,Jhargram,IN,84.25,overcast clouds,22.45,86.9833,Sarada Hotel
626,Praia Da Vitoria,PT,80.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
628,Half Moon Bay,US,80.58,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
632,Margherita,IN,76.59,overcast clouds,27.2833,95.6833,Dehing Guest House
634,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
643,Vanimo,PG,78.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
646,Cove,BJ,79.9,light rain,7.221,2.3402,TG Hôtel
647,Amahai,ID,77.22,broken clouds,-3.3333,128.9167,HOTEL ISABELA
650,Siniscola,IT,87.35,scattered clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
659,Phan Thiet,VN,78.4,overcast clouds,10.9333,108.1,Hotel Saigon-PT
663,Korla,CN,85.17,clear sky,41.7597,86.1469,Gulisitan Hotel
667,Moose Factory,CA,75.2,few clouds,51.2585,-80.6094,Moosonee Lilypad
670,Mikhaylovka,RU,81.39,broken clouds,50.06,43.2379,5 Komnat
676,Hobyo,SO,76.77,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
